id	total	white	black	Asian	other
1005001	1044	1020	0	0	0
1005002	546	491	0	36	0
1005003	630	476	0	110	0
1005004	1760	1328	0	0	432
1005005	1886	1667	4	60	73
1006001	948	823	0	41	62
1006002	837	750	0	74	6
1006003	957	832	0	115	0
1006004	1763	1524	0	153	59
1007001	785	539	0	80	166
1007002	973	873	0	100	0
1007003	781	773	0	0	8
1007004	913	793	0	96	0
1007005	1049	948	2	4	95
1101001	1605	1027	102	200	162
1101002	1354	1162	0	0	168
1101003	384	363	0	0	0
1101004	936	901	0	12	23
1101005	1124	814	0	204	65
1102001	1884	1581	1	169	51
1102002	1099	851	0	136	56
1103001	711	624	0	35	0
1103002	1213	1025	0	168	9
1103003	799	692	0	97	10
1103004	1042	1005	0	29	8
1103005	1233	1034	0	132	27
1104001	2071	1547	0	119	405
1104002	1685	1558	13	81	13
1104003	958	790	0	73	58
1105011	877	781	0	84	12
1105012	684	414	0	53	200
1105013	1966	1735	89	119	0
1105014	325	149	5	171	0
1105015	677	476	1	174	26
1105021	1567	1277	36	117	128
1105022	1905	1708	0	67	130
1201001	1642	1542	0	41	45
1201002	976	976	0	0	0
1201003	719	630	0	89	0
1201004	960	759	66	100	0
1202001	1761	1530	0	217	0
1202002	719	668	0	13	0
1202003	767	689	20	29	0
1202004	955	729	12	171	0
1203001	1230	663	73	461	16
1203002	1318	772	92	362	30
1203003	1138	1101	12	12	0
1203004	931	672	0	55	116
1203005	1108	836	0	272	0
1203006	840	643	0	197	0
1204001	1132	1013	0	52	0
1204002	724	517	28	59	35
1204003	1904	850	0	331	699
1301001	1474	749	138	552	0
1301002	2206	1673	116	267	5
1301003	1391	1002	12	192	182
1302001	1407	1162	57	98	43
1303001	596	174	10	381	0
1303002	746	599	19	74	18
1303003	1845	1061	0	421	363
1303004	1775	815	46	657	160
1401001	1859	535	68	288	949
1401002	1847	668	192	119	808
1402001	2017	720	62	211	838
1402002	1555	390	7	308	762
1402003	2745	728	87	205	1579
1403011	1507	218	0	54	1235
1403012	1461	440	93	516	399
1403021	1056	143	24	408	455
1403022	2113	512	82	298	1221
1403023	1556	718	321	178	319
1404001	790	389	0	207	182
1404002	1302	709	0	286	144
1404003	1285	821	0	203	226
1404004	1501	682	81	436	129
1404005	1788	936	0	307	439
1405001	1299	553	9	0	641
1405002	1647	901	0	0	746
1405003	1068	590	117	86	188
1406011	3304	858	165	411	1791
1406021	1191	269	0	92	830
1406022	2106	629	12	17	1448
1406023	1286	277	166	171	654
1406024	991	319	77	75	430
1407011	1195	793	39	189	154
1407012	1183	614	8	33	521
1407021	2194	919	163	33	922
1407022	790	574	26	43	78
1407023	1082	420	136	66	428
1407024	2199	479	134	221	1259
1408001	1071	435	45	0	591
1408002	834	474	18	30	289
1408003	1177	898	30	18	161
1408004	1953	764	1	435	695
1408005	2766	1364	36	351	930
1502001	1329	1042	201	0	86
1502002	1768	970	115	278	339
1502003	1600	1269	185	0	146
1502004	1754	1361	35	48	173
1502005	1438	453	123	0	791
1503001	853	806	0	38	0
1503002	1218	1049	30	13	111
1503003	1021	376	2	0	599
1503004	729	432	0	33	91
1503005	558	513	0	0	30
1503006	951	705	0	141	60
1503007	910	824	0	0	86
1504011	1014	718	0	51	208
1504012	1466	1297	0	100	69
1504013	1228	799	0	0	407
1504014	782	600	0	165	0
1504021	704	573	0	0	13
1504022	1396	811	75	210	268
1504023	1584	1292	0	0	225
1505011	1295	932	2	69	217
1505012	928	901	0	0	13
1505013	1571	1232	0	240	82
1505021	2067	1278	0	369	298
1505022	1072	462	85	0	468
1505023	2023	1118	0	17	858
1506001	1134	477	0	82	515
1506002	998	710	0	0	288
1506003	997	577	27	40	313
1506004	928	718	0	22	158
1507001	1474	1006	11	51	399
1507002	1130	740	4	43	333
1507003	623	396	0	79	114
1507004	857	753	0	32	72
1508001	515	411	0	0	76
1508002	992	581	0	31	380
1508003	1190	703	33	27	351
1508004	2102	1005	0	258	772
1508005	541	411	0	0	51
1510011	1912	647	29	0	1162
1510012	916	394	27	0	495
1510021	1048	559	0	27	462
1510022	1486	556	0	67	863
1510023	1994	1123	0	141	730
1510024	646	310	28	54	0
1511001	1246	597	0	0	600
1511002	1402	867	67	41	367
1511003	1133	548	0	33	462
1511004	1126	827	0	93	206
1512001	996	684	129	131	52
1512002	1484	1145	0	0	339
1512003	1181	931	0	56	185
1601001	1627	1318	0	69	182
1601002	787	514	0	43	230
1602001	858	703	0	36	110
1602002	1064	613	0	64	342
1602003	506	341	38	96	31
1602004	1309	855	102	39	238
1603001	2247	1012	585	245	405
1603002	1158	704	10	121	312
1603003	567	363	12	138	45
1604001	2706	1006	141	104	1365
1604002	1240	643	159	91	225
1604003	1305	957	0	34	314
1605011	1697	688	123	280	498
1605012	2249	679	115	0	1439
1605021	1150	505	35	17	593
1605022	2032	1097	3	127	805
1605023	1490	679	0	152	634
1606011	1613	783	0	215	576
1606012	467	207	1	101	158
1606013	1066	917	37	55	51
1606021	1354	829	61	252	197
1606022	1110	537	0	180	381
1606023	1360	600	0	14	714
1607001	685	583	49	8	17
1607002	956	671	0	85	200
1607003	2192	1435	114	228	270
1607004	1074	503	0	114	457
1607005	625	420	0	87	96
1608001	1324	724	0	99	443
1608002	911	695	25	58	133
1608003	1068	715	0	111	242
1608004	612	406	0	87	49
1608005	1355	802	21	19	513
1609001	1461	1132	3	32	245
1609002	967	759	0	150	50
1610001	823	774	0	17	8
1610002	871	740	0	38	92
1611001	992	921	59	0	12
1611002	1246	894	0	250	26
1612001	1304	818	11	128	347
1612002	1303	714	5	163	421
1613001	587	490	17	47	17
1613002	1081	943	22	24	73
1613003	693	535	46	0	112
1613004	1368	999	0	7	269
1701001	2038	1816	41	130	51
1702001	1448	1397	1	12	0
1702002	1205	850	0	206	45
1702003	1151	704	0	0	447
1703001	604	593	1	10	0
1703002	806	692	0	114	0
1703003	826	724	0	0	102
1703004	1326	1118	42	76	90
1703005	1698	1645	0	25	0
1704001	1229	1068	0	20	48
1704002	809	713	0	96	0
1704003	1012	927	10	0	58
1704004	573	573	0	0	0
1705001	1619	1355	0	0	252
1705002	622	622	0	0	0
1705003	1650	1530	68	14	38
1705004	894	855	13	0	7
1706001	1166	892	52	221	0
1706002	1418	1235	0	86	97
1707001	1037	935	0	93	0
1707002	852	831	0	0	21
